Security,LUACTRUU Index,
Start Date,1/31/1973 0:00,
End Date,7/24/2025 0:00,
Period,D,
,,
Date,PX_LAST,VOLATILITY_30D
11/23/2023,3055.99,8.89
11/22/2023,3055.99,8.97
11/21/2023,3048.84,9.46
11/20/2023,3046.82,9.56
11/17/2023,3037.45,9.96
11/16/2023,3029.88,10.06
11/15/2023,3011.77,9.96
11/14/2023,3026.48,9.91
11/13/2023,2987.23,9.67
11/10/2023,2985.18,9.96
11/9/2023,2976.6,9.93
11/8/2023,3001.34,9.59
11/7/2023,2987.55,9.58
11/6/2023,2972.98,9.47
11/3/2023,2984.87,9.62
11/2/2023,2967.36,9.56
11/1/2023,2941.33,9.42
10/31/2023,2913.06,8.86
10/30/2023,2917.12,8.87
10/27/2023,2924.01,8.9
10/26/2023,2924.93,8.9
10/25/2023,2908.44,8.65
10/24/2023,2929.43,8.48
10/23/2023,2917.11,8.34
10/20/2023,2901.38,8.09
10/19/2023,2893.16,8.03
10/18/2023,2911.14,8
10/17/2023,2926.4,7.9
10/16/2023,2947.16,7.8
10/13/2023,2962.43,7.83
10/12/2023,2947.05,7.64
10/11/2023,2973.33,7.25
10/10/2023,2957.16,7.3
10/6/2023,2925.99,6.49
10/5/2023,2936.89,6.45
10/4/2023,2938.05,6.47
10/3/2023,2919.98,7.07
10/2/2023,2946.49,6.65
9/29/2023,2968.65,6.43
9/28/2023,2969.94,6.47
9/27/2023,2967,6.48
9/26/2023,2978.57,6.47
9/25/2023,2983.31,6.51
9/22/2023,3004.08,6.19
9/21/2023,2989.97,6.04
9/20/2023,3014.57,5.84
9/19/2023,3012.01,5.84
9/18/2023,3019.47,5.92
9/15/2023,3014.19,5.92
9/14/2023,3020.35,6.47
9/13/2023,3024.21,6.86
9/12/2023,3021.27,6.97
9/11/2023,3019.99,7.22
9/8/2023,3024.71,7.26
9/7/2023,3020.58,7.37
9/6/2023,3011.59,7.61
9/5/2023,3015.97,7.68
9/1/2023,3032.43,7.53
8/31/2023,3050.07,7.35
8/30/2023,3044.88,7.34
8/29/2023,3045.31,7.54
8/28/2023,3026.93,7.42
8/25/2023,3019.18,7.4
8/24/2023,3017.9,7.4
8/23/2023,3025.28,7.49
8/22/2023,2992.67,6.94
8/21/2023,2986.42,7.41
8/18/2023,3000.75,7.36
8/17/2023,2994.06,7.4
8/16/2023,2999.75,7.39
8/15/2023,3011.15,7.65
8/14/2023,3019.79,7.72
8/11/2023,3022.16,7.72
8/10/2023,3030.68,7.87
8/9/2023,3049.78,7.91
8/8/2023,3046.81,7.98
8/7/2023,3035.84,7.91
8/4/2023,3042.58,7.91
8/3/2023,3016.42,7.48
8/2/2023,3039.5,7.28
8/1/2023,3053.48,7.16
7/31/2023,3073.95,6.93
7/28/2023,3066.91,6.91
7/27/2023,3054.33,7.06
7/26/2023,3078.04,6.64
7/25/2023,3069.83,6.73
7/24/2023,3071.34,6.75
7/21/2023,3074.13,6.78
7/20/2023,3070.68,6.9
7/19/2023,3089.5,6.92
7/18/2023,3075.98,6.82
7/17/2023,3069.95,6.8
7/14/2023,3068.14,6.9
7/13/2023,3082.87,6.77
7/12/2023,3063.64,6.57
7/11/2023,3038.49,6.62
7/10/2023,3029.73,6.57
7/7/2023,3019.71,6.56
7/6/2023,3021.41,6.61
7/5/2023,3044.67,6.19
7/3/2023,3058.66,6.01
6/30/2023,3063.39,6.02
6/29/2023,3047.55,5.96
6/28/2023,3068.61,5.59
6/27/2023,3058.19,5.61
6/26/2023,3063.91,5.7
6/23/2023,3058.71,5.82
6/22/2023,3050.42,5.85
6/21/2023,3065.5,5.97
6/20/2023,3064.19,5.98
6/16/2023,3054.43,6.16
6/15/2023,3058.17,6.18
6/14/2023,3038.85,5.93
6/13/2023,3032.77,6.01
6/12/2023,3044.69,6.59
6/9/2023,3038.77,7.43
6/8/2023,3045.25,7.69
6/7/2023,3030.83,7.6
6/6/2023,3050.19,7.48
6/5/2023,3047.37,7.75
6/2/2023,3048.15,7.9
6/1/2023,3059.4,7.83
5/31/2023,3050.83,7.85
5/30/2023,3042.56,7.82
5/26/2023,3016.23,7.36
5/25/2023,3013.85,7.44
5/24/2023,3022.83,7.45
5/23/2023,3030.83,7.43
5/22/2023,3026.82,7.42
5/19/2023,3026.76,7.44
5/18/2023,3032.36,7.44
5/17/2023,3044.49,7.56
5/16/2023,3049.54,7.56
5/15/2023,3060.29,7.55
5/12/2023,3071.93,7.56
5/11/2023,3085.75,7.58
5/10/2023,3075.26,7.78
5/9/2023,3056.56,7.63
5/8/2023,3059.08,7.62
5/5/2023,3077.51,7.39
5/4/2023,3084.63,7.81
5/3/2023,3097.66,7.69
5/2/2023,3087.22,7.65
5/1/2023,3058.98,7.62
4/28/2023,3095.67,6.61
4/27/2023,3076.76,6.49
4/26/2023,3089.49,6.68
4/25/2023,3102.8,6.55
4/24/2023,3083.09,6.46
4/21/2023,3069,6.53
4/20/2023,3073.11,6.5
4/19/2023,3063.24,7.1
4/18/2023,3069.85,7.05
4/17/2023,3062.46,7.09
4/14/2023,3075.9,6.94
4/13/2023,3086.63,6.84
4/12/2023,3091.29,7.25
4/11/2023,3088.17,7.31
4/10/2023,3084.32,7.6
4/7/2023,3086,7.59
4/6/2023,3105.33,7.24
4/5/2023,3104.24,7.57
4/4/2023,3097.2,7.6
4/3/2023,3086.84,7.58
3/31/2023,3072.15,8.21
3/30/2023,3051.23,7.99
3/29/2023,3041.35,8.13
3/28/2023,3038.08,8.17
3/27/2023,3041.98,8.21
3/24/2023,3067.53,7.8
3/23/2023,3067.13,8.03
3/22/2023,3060.4,8.16
3/21/2023,3033.45,7.71
3/20/2023,3031.38,7.74
3/17/2023,3041.33,7.88
3/16/2023,3018.21,7.83
3/15/2023,3023.84,7.9
3/14/2023,3008.53,8.05
3/13/2023,3021.49,8.15
3/10/2023,3018.32,8.15
3/9/2023,2986.96,7.38
3/8/2023,2981.56,7.33
3/7/2023,2987.43,7.35
3/6/2023,2991.78,7.57
3/3/2023,2995.3,7.57
3/2/2023,2966.76,6.97
3/1/2023,2971.95,6.99
2/28/2023,2988.93,7.71
2/27/2023,2987.04,7.7
2/24/2023,2982.67,7.69
2/23/2023,3000.66,8.07
2/22/2023,2989.34,8.35
2/21/2023,2982.31,8.36
2/17/2023,3012.52,7.97
2/16/2023,3007.22,8.67
2/15/2023,3023.44,8.5
2/14/2023,3031.72,8.57
2/13/2023,3039.91,8.54
2/10/2023,3033.17,8.58
2/9/2023,3051.28,8.38
2/8/2023,3067.24,8.21
2/7/2023,3061.88,8.59
2/6/2023,3070.86,8.63
2/3/2023,3089.43,8.38
2/2/2023,3116.68,7.82
2/1/2023,3108.6,8.29
1/31/2023,3087.13,8.45
1/30/2023,3072.56,8.43
1/27/2023,3080.25,8.39
1/26/2023,3083.69,8.38
1/25/2023,3086.17,8.57
1/24/2023,3084.05,8.57
1/23/2023,3068.69,8.78
1/20/2023,3072.8,8.78
1/19/2023,3090.42,8.87
1/18/2023,3100.35,8.88
1/17/2023,3068.08,8.7
1/13/2023,3069.92,8.77
1/12/2023,3079.12,9.37
1/11/2023,3052.29,9.24
1/10/2023,3028.97,9.16
1/9/2023,3040.97,9.08
1/6/2023,3027.43,9
1/5/2023,2993.29,8.59
1/4/2023,2994.08,8.75
1/3/2023,2978.36,8.63
12/30/2022,2968.2,8.59
12/29/2022,2974.4,8.7
12/28/2022,2962.1,8.89
12/27/2022,2967.48,9.22
12/23/2022,2989.57,8.87
12/22/2022,3000.99,10.72
12/21/2022,3001.71,10.71
12/20/2022,2993.57,10.74
12/19/2022,3017.37,10.36
12/16/2022,3039.66,9.98
12/15/2022,3050.22,10.07
12/14/2022,3049.29,10.1
12/13/2022,3044.13,10.11
12/12/2022,3024.01,10.14
12/9/2022,3023.18,10.22
12/8/2022,3044.87,9.85
12/7/2022,3049.22,9.8
12/6/2022,3024.8,9.99
12/5/2022,3009.59,9.98
12/2/2022,3031.11,9.6
12/1/2022,3018.26,9.95
11/30/2022,2981.28,10.06
11/29/2022,2961.05,9.95
11/28/2022,2975.33,9.75
11/25/2022,2979.72,9.87
11/23/2022,2977.34,10.01
11/22/2022,2957.03,9.9
11/21/2022,2939.45,10.13
11/18/2022,2935.73,10.35
11/17/2022,2937.32,10.37
11/16/2022,2951.49,10.46
11/15/2022,2929.51,10.29
11/14/2022,2903.48,10.54
11/10/2022,2899.89,10.54
11/9/2022,2836.88,8.4
11/8/2022,2835.25,9.31
11/7/2022,2821.36,9.77
11/4/2022,2825.83,10.44
11/3/2022,2828.69,10.44
11/2/2022,2842.88,10.99
11/1/2022,2845.4,11.13
10/31/2022,2834.5,11.06
10/28/2022,2842.54,11.06
10/27/2022,2849.1,11.06
10/26/2022,2834.4,10.87
10/25/2022,2820.06,10.69
10/24/2022,2789.29,9.95
10/21/2022,2787.56,9.91
10/20/2022,2791.75,10
10/19/2022,2808.53,9.93
10/18/2022,2834.44,10.08
10/17/2022,2824.85,10.32
10/14/2022,2821.86,10.45
10/13/2022,2833.83,10.62
10/12/2022,2845.02,10.66
10/11/2022,2846.92,10.67
10/7/2022,2868.46,10.61
10/6/2022,2886.68,10.54
10/5/2022,2890.88,10.86
10/4/2022,2909.59,10.76
10/3/2022,2898.1,10.63
9/30/2022,2864.12,9.79
9/29/2022,2864.59,9.93
9/28/2022,2885.05,9.9
9/27/2022,2848.35,8.79
9/26/2022,2881.35,8.41
9/23/2022,2919.16,7.88
9/22/2022,2924.82,8.25
9/21/2022,2963.67,7.54
9/20/2022,2950.89,7.44
9/19/2022,2965.08,7.39
9/16/2022,2966.88,7.68
9/15/2022,2974.56,8.3
9/14/2022,2981.67,8.36
9/13/2022,2979.27,8.68
9/12/2022,2993.33,9.15
9/9/2022,2996.68,9.44
9/8/2022,2990.84,9.44
9/7/2022,2997.94,9.73
9/6/2022,2976.6,9.47
9/2/2022,3009.37,8.98
9/1/2022,2996.76,8.93
8/31/2022,3022.99,9.07
8/30/2022,3040.53,9.39
8/29/2022,3041.56,9.4
8/26/2022,3059.76,9.24
8/25/2022,3062.01,9.25
8/24/2022,3041.51,9.16
8/23/2022,3048.08,9.25
8/22/2022,3051.24,9.29
8/19/2022,3066.93,9.15
8/18/2022,3092.65,8.88
8/17/2022,3088.6,8.93
8/16/2022,3109.74,8.64
8/15/2022,3112.17,8.8
8/12/2022,3105.21,8.83
8/11/2022,3086.56,8.8
8/10/2022,3101.66,8.63
8/9/2022,3093,8.69
8/8/2022,3103.16,8.6
8/5/2022,3086.54,8.65
8/4/2022,3123.63,7.75
8/3/2022,3117.96,7.78
8/2/2022,3097.62,7.82
8/1/2022,3133.4,7.05
7/29/2022,3114.32,6.9
7/28/2022,3107.92,6.9
7/27/2022,3087.14,7.48
7/26/2022,3078.83,7.8
7/25/2022,3082.54,10.01
7/22/2022,3098.81,10.36
7/21/2022,3072.4,10.06
7/20/2022,3043.57,9.67
7/19/2022,3039.65,9.73
7/18/2022,3045.73,9.88
7/15/2022,3050.49,9.88
7/14/2022,3034.9,9.73
7/13/2022,3049.3,9.67
7/12/2022,3039.23,9.65
7/11/2022,3035.94,9.66
7/8/2022,3018.53,9.55
7/7/2022,3026.14,9.76
7/6/2022,3028.47,10.22
7/5/2022,3043.53,10.19
7/1/2022,3033.35,10.21
6/30/2022,3016.66,10.07
6/29/2022,3009.46,10.13
6/28/2022,2995.3,10.16
6/27/2022,2996.36,10.17
6/24/2022,3009.39,10.21
6/23/2022,3015.55,10.2
6/22/2022,3004.99,10.3
6/21/2022,2983.65,10.09
6/17/2022,2999.06,10.05
6/16/2022,2995.27,10.16
6/15/2022,2993.77,10.47
6/14/2022,2957.4,9.86
6/13/2022,2975.51,9.84
6/10/2022,3035.07,8.19
6/9/2022,3065.54,7.87
6/8/2022,3071.74,7.86
6/7/2022,3081.87,8.01
6/6/2022,3071.03,8.09
6/3/2022,3090.34,8.04
6/2/2022,3096.91,8.12
6/1/2022,3095.57,8.32
5/31/2022,3103.56,8.58
5/27/2022,3116.81,8.73
5/26/2022,3111.84,8.81
5/25/2022,3100.71,8.96
5/24/2022,3082.06,8.73
5/23/2022,3052.88,8.17
5/20/2022,3065.91,8.37
5/19/2022,3053.69,8.41
5/18/2022,3048.94,8.35
5/17/2022,3036.39,8.22
5/16/2022,3055.56,8.48
5/13/2022,3052.54,8.49
5/12/2022,3069.02,8.44
5/11/2022,3069.42,8.47
5/10/2022,3052.23,8.31
5/9/2022,3042.93,8.63
5/6/2022,3034.2,8.64
5/5/2022,3051.62,8.68
5/4/2022,3080.08,8.41
5/3/2022,3063.01,8.46
5/2/2022,3052.21,8.3
4/29/2022,3074.85,8.48
4/28/2022,3095.06,8.55
4/27/2022,3099.71,8.84
4/26/2022,3118.87,9.02
4/25/2022,3103.36,8.87
4/22/2022,3087.34,9.25
4/21/2022,3100.89,9.21
4/20/2022,3119.95,9.26
4/19/2022,3097.39,8.85
4/18/2022,3118.08,8.99
4/14/2022,3132.23,9.16
4/13/2022,3154.42,9.19
4/12/2022,3153.39,9.32
4/11/2022,3147.55,10.02
4/8/2022,3172.46,10.13
4/7/2022,3195.48,10.53
4/6/2022,3203.87,10.6
4/5/2022,3221.37,10.51
4/4/2022,3253.88,10.25
4/1/2022,3249.15,10.23
3/31/2022,3252.71,10.25
3/30/2022,3249.16,10.25
3/29/2022,3238.19,10.17
3/28/2022,3215.25,9.9
3/25/2022,3205.18,9.99
3/24/2022,3226.25,10.14
3/23/2022,3240.12,10.44
3/22/2022,3220.29,10.23
3/21/2022,3229.88,10.23
3/18/2022,3261.51,9.9
3/17/2022,3247.93,10.02
