Date,0,1,2
1/3/14,2.640735135759522,-2.400353421,-3.95511078
1/10/14,2.5978012472978453,-2.344018909,-4.001704015
1/17/14,2.6300112662126307,-2.344209974,-4.188852775
1/24/14,2.5248193490169806,-2.233297646,-4.128992966
1/31/14,2.5602829175328177,-2.261745242,-4.233670229
2/7/14,2.539866186,-2.252749156,-4.171601554
2/14/14,2.532202299799951,-2.247959319,-4.224208663
2/21/14,2.6136695945823205,-2.305556501,-4.400485012
2/28/14,2.6123428949512726,-2.302505616,-4.443621254
3/7/14,2.657577713076119,-2.354164565,-4.497280025
3/14/14,2.702308495848712,-2.408237195,-4.562396549
3/21/14,2.658859015077357,-2.369957504,-4.551224189
3/28/14,2.6904210732611658,-2.395751104,-4.529082197
4/4/14,2.6504702316052096,-2.351911154,-4.374112039
4/11/14,2.678419101176437,-2.358471974,-4.555079638
4/18/14,2.656816941780319,-2.336822739,-4.531527731
4/25/14,2.676201350088308,-2.364245797,-4.496544689
5/2/14,2.699063042076727,-2.376128745,-4.598848455
5/9/14,2.7044725409002233,-2.378121352,-4.628806029
5/16/14,2.6920961374231664,-2.362936402,-4.634832386
5/23/14,2.682920977174678,-2.357843736,-4.604170635
5/30/14,2.679872561108045,-2.348166962,-4.655433434
6/6/14,2.703042677479009,-2.362967173,-4.707273745
6/13/14,2.665336466286466,-2.332426753,-4.623452628
6/20/14,2.6965868819209176,-2.35223549,-4.746393184
6/27/14,2.597743611124622,-2.262781486,-4.65252991
7/4/14,2.639336840606824,-2.310389702,-4.65629143
7/11/14,2.685924760713626,-2.346105005,-4.849067313
7/18/14,2.6128591970018653,-2.303925413,-4.657206871
7/25/14,2.611572889351928,-2.30715173,-4.632242418
8/1/14,2.638763567330403,-2.329624492,-4.695399585
8/8/14,2.6304113690742152,-2.309899509,-4.741600372
8/15/14,2.6170681577527475,-2.283384274,-4.746165317
8/22/14,2.577207711,-2.259190092,-4.608425721
8/29/14,2.5412664741988436,-2.227652031,-4.562186936
9/5/14,2.6015913950712135,-2.28297135,-4.623352674
9/12/14,2.6536940392237005,-2.354649603,-4.63293419
9/19/14,2.657363720754994,-2.381399927,-4.62126215
9/26/14,2.558167151370869,-2.266679099,-4.547726048
10/3/14,2.5721802084204626,-2.283207593,-4.586183672
10/10/14,2.5666830732989054,-2.278183234,-4.617147557
10/17/14,2.5564205590339495,-2.282005838,-4.669435024
10/24/14,2.5608267095961583,-2.282397256,-4.702474779
10/31/14,2.485684608030156,-2.198661181,-4.557896586
11/7/14,2.4175057685885215,-2.165592429,-4.341781247
11/14/14,2.2893290190583833,-2.069529363,-3.991038643
11/21/14,2.26830396,-2.048739774,-3.982397419
11/28/14,2.2408026215426404,-2.002629204,-4.066341585
12/5/14,2.3068199910941996,-2.048020321,-4.340889304
12/12/14,2.240046335060142,-1.981594982,-4.280897951
12/19/14,2.1392535761988185,-1.921887757,-4.149223933
12/26/14,2.0610645781320756,-1.854930281,-4.00025179
1/2/15,2.0289182716567336,-1.805890963,-3.969566429
1/9/15,1.901037064996398,-1.671633806,-3.840498503
1/16/15,1.822499104991964,-1.599809564,-3.739083044
1/23/15,2.1953383934761286,-1.923120519,-4.458041049
1/30/15,2.1076010702189847,-1.818652006,-4.283556065
2/6/15,2.1002160856559593,-1.839078569,-4.047748333
2/13/15,2.301233460354706,-2.054571727,-4.192683543
2/20/15,2.2809205046502785,-2.020171124,-4.269088649
2/27/15,2.282078693146325,-1.997338998,-4.471199979
3/6/15,2.297193174723298,-2.014407056,-4.441705564
3/13/15,2.3476686118689614,-2.08926528,-4.399494076
3/20/15,2.128032517,-1.852034135,-4.215259175
3/27/15,2.192509143457242,-1.919533936,-4.184069523
4/3/15,2.178373683621944,-1.898626329,-4.20784891
4/10/15,2.1859822280655314,-1.911193103,-4.246447631
4/17/15,2.0687647822569444,-1.79967496,-4.101286065
4/24/15,2.1094397541291876,-1.857071319,-4.207587989
5/1/15,2.172144891369442,-1.932288513,-4.083501569
5/8/15,2.245891145639781,-2.021147199,-4.03458748
5/15/15,2.2333946782729726,-2.015327471,-4.079514194
5/22/15,2.302346242951692,-2.073029283,-4.169675901
5/29/15,2.310908326311887,-2.056744345,-4.337244986
6/5/15,2.4038653700026567,-2.170280136,-4.319936949
6/12/15,2.3470419694345326,-2.137670519,-4.054745302
6/19/15,2.2797660674283287,-2.033873596,-4.179809505
6/26/15,2.295977191510114,-2.078692782,-4.061961008
7/3/15,2.292173768678876,-2.073431636,-3.986762548
7/10/15,2.281562180336346,-2.047010764,-4.150949272
7/17/15,2.290369690678813,-2.039636791,-4.21737151
7/24/15,2.2227763748498557,-1.97634663,-4.128723292
7/31/15,2.2311420413737744,-1.986152265,-4.144108911
8/7/15,2.274298811383531,-2.031555426,-4.192282611
8/14/15,2.2518375625932867,-1.998958419,-4.254828265
8/21/15,2.214394620260512,-1.944573076,-4.275477789
8/28/15,2.2450099675173534,-1.983865267,-4.264670375
9/4/15,2.2211651306183318,-1.955056556,-4.29751805
9/11/15,2.2724270647998397,-1.987388355,-4.503245058
9/18/15,2.222811153024295,-1.92380956,-4.473290024
9/25/15,2.202261444459932,-1.906077293,-4.455178523
10/2/15,2.1835888315856873,-1.895479555,-4.402249221
10/9/15,2.1543533980446816,-1.879816139,-4.290951488
10/16/15,2.1561447874177313,-1.884887411,-4.286160417
10/23/15,2.156484837585313,-1.880202888,-4.329915678
10/30/15,2.1738017874710533,-1.891795093,-4.389223076
11/6/15,2.196441527290089,-1.914203871,-4.383374495
11/13/15,2.226521788379409,-1.939925617,-4.471566042
11/20/15,2.2218982322058003,-1.969568207,-4.404687514
11/27/15,2.181457325,-1.920356361,-4.356573395
12/4/15,2.1964048052689846,-1.956607506,-4.321058687
12/11/15,2.1429027835705243,-1.908719715,-4.246900949
12/18/15,2.0245817125133736,-1.80687741,-4.097956422
12/25/15,2.001491223257764,-1.80038112,-3.988487814
1/1/16,1.9998285418175898,-1.793575854,-4.006497373
1/8/16,1.9124143550763486,-1.706205909,-3.925829105
1/15/16,1.981589725610344,-1.768545595,-4.090843697
1/22/16,1.9172798922929626,-1.675798237,-3.991932505
1/29/16,1.787487541,-1.576378799,-4.008899586
2/5/16,1.837903313626804,-1.725545376,-4.305159337
2/12/16,1.9434321990183727,-1.827907731,-4.395347231
2/19/16,1.7855837827212995,-1.702891538,-4.18522784
2/26/16,1.5323936120538721,-1.476966668,-3.843918153
3/4/16,1.2726053580700134,-1.22157363,-3.250101874
3/11/16,1.337844695700032,-1.237356428,-3.271547909
3/18/16,0.9140011990898301,-0.845080078,-2.678988322
3/25/16,1.0146510395562283,-0.943407156,-2.88768958
4/1/16,0.8743957138097052,-0.839421521,-2.486322344
4/8/16,0.8462839908227233,-0.883081504,-2.365510374
4/15/16,0.809555655,-0.833386753,-2.350952428
4/22/16,0.7737905208773138,-0.841397656,-2.30445536
4/29/16,0.7084862825106792,-0.820904414,-1.926038962
5/6/16,0.6128884567086547,-0.750479175,-1.806045692
5/13/16,0.7374434644932064,-0.882862049,-2.018562935
5/20/16,0.6817383695799022,-0.826555948,-1.888248545
5/27/16,0.6627517595813247,-0.810920985,-1.900532787
6/3/16,0.6797493755678453,-0.814792067,-1.930288353
6/10/16,0.6053034099800855,-0.742214209,-1.924084662
6/17/16,0.5567538957591451,-0.704759054,-1.77640045
6/24/16,0.4287125707385013,-0.635768101,-1.609889252
7/1/16,0.3900584079103253,-0.619223162,-1.671487656
7/8/16,0.3937983096814125,-0.616228488,-1.771467464
7/15/16,0.5341467401712369,-0.742067567,-1.882433138
7/22/16,0.6259822707174933,-0.811997524,-2.113303458
7/29/16,0.5936687824058563,-0.728298172,-1.943523934
8/5/16,0.7170183816200402,-0.814096942,-1.945841759
8/12/16,0.663629681,-0.755195969,-1.86869949
