Security,USOSFR10 BGN Curncy
Start Date,1/1/2007 0:00
End Date,7/25/2025 0:00
Period,D
Currency,USD
Pricing Source,BGN
,
Date,PX_LAST
4/6/2021,1.4298
4/5/2021,1.4774
4/2/2021,1.503
4/1/2021,1.45535
3/31/2021,1.52245
3/30/2021,1.47885
3/29/2021,1.48315
3/26/2021,1.45215
3/25/2021,1.40825
3/24/2021,1.38
3/23/2021,1.38145
3/22/2021,1.4573
3/19/2021,1.49515
3/18/2021,1.446
3/17/2021,1.4075
3/16/2021,1.3715
3/15/2021,1.3695
3/12/2021,1.39455
3/11/2021,1.3127
3/10/2021,1.28475
3/9/2021,1.2985
3/8/2021,1.3795
3/5/2021,1.3776
3/4/2021,1.3955
3/3/2021,1.314
3/2/2021,1.2235
3/1/2021,1.2605
2/26/2021,1.233
2/25/2021,1.3321
2/24/2021,1.19475
2/23/2021,1.1893
2/22/2021,1.21125
2/19/2021,1.186
2/18/2021,1.1375
2/17/2021,1.11375
2/16/2021,1.1668
2/12/2021,1.0529
2/11/2021,1.0021
2/10/2021,0.96755
2/9/2021,1.00195
2/8/2021,1.01965
2/5/2021,1.00715
2/4/2021,0.98
2/3/2021,0.966
2/2/2021,0.9201
2/1/2021,0.89665
1/29/2021,0.8795
1/28/2021,0.858
1/27/2021,0.82645
1/26/2021,0.83885
1/25/2021,0.8315
1/22/2021,0.8831
1/21/2021,0.89195
1/20/2021,0.86
1/19/2021,0.871
1/15/2021,0.8687
1/14/2021,0.916
1/13/2021,0.88215
1/12/2021,0.92865
1/11/2021,0.93475
1/8/2021,0.9096
1/7/2021,0.8647
1/6/2021,0.811
1/5/2021,0.736
1/4/2021,0.69365
12/31/2020,0.705
12/30/2020,0.721
