"Date","Price","Open","High","Low","Change %"
"11/26/2021","-0.231","-0.154","-0.154","-0.231","0.00%"
"11/25/2021","-0.231","-0.154","-0.154","-0.231","0.00%"
"11/24/2021","-0.231","-0.154","-0.154","-0.231","50.32%"
"11/23/2021","-0.154","-0.154","-0.154","-0.154","-33.48%"
"11/22/2021","-0.231","-0.154","-0.154","-0.231","50.32%"
"11/21/2021","-0.154","-0.154","-0.154","-0.154","-29.36%"
"11/19/2021","-0.218","-0.139","-0.129","-0.218","-2.68%"
"11/18/2021","-0.224","-0.139","-0.139","-0.224","61.15%"
"11/17/2021","-0.139","-0.139","-0.139","-0.224","-37.95%"
"11/16/2021","-0.224","-0.139","-0.139","-0.224","0.00%"
"11/15/2021","-0.224","-0.139","-0.136","-0.224","61.15%"
"11/14/2021","-0.139","-0.139","-0.139","-0.139","12.10%"
"11/12/2021","-0.124","-0.121","-0.121","-0.131","0.00%"
"11/11/2021","-0.124","-0.126","-0.113","-0.126","0.00%"
"11/10/2021","-0.124","-0.121","-0.112","-0.124","11.21%"
"11/09/2021","-0.112","-0.124","-0.112","-0.124","0.45%"
"11/08/2021","-0.111","-0.124","-0.111","-0.124","-6.72%"
"11/07/2021","-0.119","-0.119","-0.119","-0.119","8.18%"
"11/05/2021","-0.110","-0.119","-0.110","-0.119","1.38%"
"11/04/2021","-0.108","-0.119","-0.108","-0.119","-8.82%"
"11/03/2021","-0.119","-0.119","-0.119","-0.119","9.17%"
"11/02/2021","-0.109","-0.119","-0.109","-0.119","0.46%"
"11/01/2021","-0.108","-0.119","-0.108","-0.119","-8.82%"
"10/31/2021","-0.119","-0.119","-0.119","-0.119","0.00%"
"10/29/2021","-0.119","-0.104","-0.104","-0.119","14.42%"
"10/28/2021","-0.104","-0.104","-0.104","-0.104","0.00%"
"10/27/2021","-0.104","-0.104","-0.104","-0.104","0.00%"
"10/26/2021","-0.104","-0.104","-0.104","-0.104","0.00%"
"10/25/2021","-0.104","-0.104","-0.104","-0.104","0.00%"
"10/24/2021","-0.104","-0.104","-0.104","-0.104","-49.76%"
"10/22/2021","-0.207","-0.114","-0.114","-0.207","94.37%"
"10/21/2021","-0.106","-0.114","-0.106","-0.114","-6.58%"
"10/20/2021","-0.114","-0.108","-0.108","-0.114","0.00%"
"10/19/2021","-0.114","-0.119","-0.108","-0.119","5.07%"
"10/18/2021","-0.108","-0.119","-0.108","-0.119","-8.82%"
"10/17/2021","-0.119","-0.119","-0.119","-0.119","9.17%"
"10/15/2021","-0.109","-0.109","-0.109","-0.109","0.00%"
"10/14/2021","-0.109","-0.109","-0.109","-0.109","-46.83%"
"10/13/2021","-0.205","-0.109","-0.109","-0.205","96.17%"
"10/12/2021","-0.105","-0.109","-0.105","-0.109","0.00%"
"10/11/2021","-0.105","-0.109","-0.105","-0.109","-3.67%"
"10/10/2021","-0.109","-0.109","-0.109","-0.109","-48.71%"
