Security,LUTLTRUU Index,
Start Date,1/31/73 0:00,
End Date,7/24/25 0:00,
Period,D,
,,
Date,PX_LAST,VOLATILITY_30D
7/3/23,3359.79,12.61
6/30/23,3375.66,12.7
6/29/23,3341.98,12.57
6/28/23,3400.37,11.44
6/27/23,3384.72,11.42
6/26/23,3395.31,11.71
6/23/23,3389.49,11.89
6/22/23,3360.57,11.94
6/21/23,3399.59,11.81
6/20/23,3390.93,11.83
6/16/23,3369.04,12.18
6/15/23,3380.03,12.21
6/14/23,3351.01,12.05
6/13/23,3328.62,12.04
6/12/23,3360.47,13.63
6/9/23,3353.17,15.57
6/8/23,3355.79,16.23
6/7/23,3320.95,16.07
6/6/23,3367.71,15.78
6/5/23,3352.53,16.37
6/2/23,3355.96,16.63
6/1/23,3388.16,16.46
5/31/23,3376.22,16.59
5/30/23,3347.65,16.37
5/26/23,3297.31,15.68
5/25/23,3291.92,15.91
5/24/23,3304.86,16.08
5/23/23,3318.57,16.15
5/22/23,3312.13,16.11
5/19/23,3322.33,16.13
5/18/23,3344.3,16.06
5/17/23,3371.69,16.18
5/16/23,3380.2,16.22
5/15/23,3392.88,16.49
5/12/23,3424.13,16.43
5/11/23,3450.43,16.37
5/10/23,3418.63,16.59
5/9/23,3386.4,16.39
5/8/23,3397.62,16.37
5/5/23,3439.12,15.94
5/4/23,3454.55,17.07
5/3/23,3483.21,16.91
5/2/23,3460.66,16.8
5/1/23,3385.54,15.92
4/28/23,3473.29,14.14
4/27/23,3424.85,13.7
4/26/23,3458.33,14.01
4/25/23,3490.31,13.97
4/24/23,3440.83,14.4
4/21/23,3410.42,14.98
4/20/23,3427.68,15.01
4/19/23,3401.97,17.67
4/18/23,3405.96,17.67
4/17/23,3394.34,17.65
4/14/23,3430.17,17.33
4/13/23,3463.12,17.16
4/12/23,3487.57,17.91
4/11/23,3489.68,18.21
4/10/23,3486.31,18.62
4/7/23,3497.14,18.56
4/6/23,3535.26,18.12
4/5/23,3527.55,18.69
4/4/23,3496.75,18.67
4/3/23,3475.1,18.72
3/31/23,3455.29,19.65
3/30/23,3411.45,19.41
3/29/23,3396.88,19.83
3/28/23,3403.91,20
3/27/23,3401.22,20.02
3/24/23,3471.42,19.09
3/23/23,3459.12,19.39
3/22/23,3455.65,19.59
3/21/23,3410.4,19.23
3/20/23,3440.55,19.18
3/17/23,3469.44,19.13
3/16/23,3422.52,19.15
3/15/23,3451.69,19.01
3/14/23,3388.6,18.47
3/13/23,3443.24,17.97
3/10/23,3423.63,17.91
3/9/23,3316.34,14.89
3/8/23,3305.68,14.85
3/7/23,3301.53,14.88
3/6/23,3284.65,15.41
3/3/23,3305,15.37
3/2/23,3235.41,14.2
3/1/23,3263.96,14.1
2/28/23,3298.92,15.72
2/27/23,3288.45,15.69
2/24/23,3277.39,15.73
2/23/23,3319.17,16.44
2/22/23,3291.93,16.87
2/21/23,3264.73,17.15
2/17/23,3324.87,16.47
2/16/23,3302.49,17.18
2/15/23,3345.43,16.76
2/14/23,3374.49,16.95
2/13/23,3382.69,17.18
2/10/23,3355.77,17.11
2/9/23,3391.61,16.92
2/8/23,3421,16.75
2/7/23,3406.45,17.71
2/6/23,3432.63,18.05
2/3/23,3457.02,17.89
2/2/23,3507.53,17.23
2/1/23,3503.41,18.04
1/31/23,3463.2,18.36
1/30/23,3440.24,18.48
1/27/23,3451.92,18.5
1/26/23,3458.08,18.56
1/25/23,3475.95,18.71
1/24/23,3468.01,18.72
1/23/23,3422.41,19.53
1/20/23,3437.78,19.51
1/19/23,3489.6,19.95
1/18/23,3509.4,20.11
1/17/23,3431.51,19.36
1/13/23,3448.91,19.55
1/12/23,3477.71,21.02
1/11/23,3416.87,20.5
1/10/23,3367.6,20.35
1/9/23,3418.91,19.77
1/6/23,3400.41,19.75
1/5/23,3342.65,19.6
1/4/23,3332.97,19.9
1/3/23,3290.57,19.58
12/30/22,3254.58,19.41
12/29/22,3265.94,19.62
12/28/22,3234.62,20.35
12/27/22,3251.58,20.69
12/23/22,3309.51,19.96
12/22/22,3354.29,21.99
12/21/22,3354.16,21.97
12/20/22,3348.85,22.06
12/19/22,3403.91,21.57
12/16/22,3455.93,21.47
12/15/22,3490.41,21.25
12/14/22,3477.61,21.39
12/13/22,3460.2,21.46
12/12/22,3426.41,21.65
12/9/22,3418.12,21.89
12/8/22,3496.73,20.46
12/7/22,3508.58,20.5
12/6/22,3438.73,21
12/5/22,3399.67,21.16
12/2/22,3441.25,21.6
12/1/22,3405.25,22.22
11/30/22,3310.9,21.68
11/29/22,3288.21,21.63
11/28/22,3321.44,21.4
11/25/22,3313.47,21.57
11/23/22,3320.13,21.78
11/22/22,3270.57,21.39
11/21/22,3230.05,21.29
11/18/22,3219.12,21.45
11/17/22,3237.22,21.43
11/16/22,3270.14,21.45
11/15/22,3204.53,20.46
11/14/22,3159.32,20.54
11/10/22,3174.09,20.7
11/9/22,3060.43,17.06
11/8/22,3051.73,19.91
11/7/22,3020.54,20.64
11/4/22,3048.57,21.14
11/3/22,3091.51,21
11/2/22,3108.86,21.99
11/1/22,3121.67,22.64
10/31/22,3092.22,22.39
